"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1206","51","ERROR","编译失败","return Results.BadRequest(new ErrorResponse(""编译失败"", new Dictionary<string, string[]>","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1223","24","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""COMPILE_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1223","47","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""COMPILE_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1247","28","ERROR","批量编译失败","return Results.BadRequest(new ErrorResponse(""批量编译失败"", new Dictionary<string, string[]>","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1247","51","ERROR","批量编译失败","return Results.BadRequest(new ErrorResponse(""批量编译失败"", new Dictionary<string, string[]>","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1265","24","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""COMPILE_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1265","47","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""COMPILE_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1297","24","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""VALIDATION_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1297","47","ERROR","","return Results.BadRequest(new ErrorResponse(ex.Message, ""VALIDATION_FAILED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1328","24","ERROR","实体类型未加载","return Results.NotFound(new ErrorResponse(""实体类型未加载"", ""TYPE_NOT_LOADED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1328","45","ERROR","实体类型未加载","return Results.NotFound(new ErrorResponse(""实体类型未加载"", ""TYPE_NOT_LOADED""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","1344","20","ERROR","","return Results.Ok(new SuccessResponse($""实体 {fullTypeName} 已卸载""));","I18n.T(""MSG_"")"
